ts=1771443693304 [2026-02-18T19:41:33.304Z] Model: claude-4.6-opus-high-thinking | Tokens: 463,541 | Cost: $3.18 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771508773320 [2026-02-19T13:46:13.320Z] Model: claude-4.6-opus-high-thinking | Tokens: 224,395 | Cost: $0.20 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771509041467 [2026-02-19T13:50:41.467Z] Model: claude-4.6-opus-high-thinking | Tokens: 119,925 | Cost: $0.08 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771509072136 [2026-02-19T13:51:12.136Z] Model: claude-4.6-opus-high-thinking | Tokens: 181,995 | Cost: $0.10 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771509306384 [2026-02-19T13:55:06.384Z] Model: claude-4.6-opus-high-thinking | Tokens: 122,973 | Cost: $0.08 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771509355355 [2026-02-19T13:55:55.355Z] Model: claude-4.6-opus-high-thinking | Tokens: 250,337 | Cost: $0.15 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771509395767 [2026-02-19T13:56:35.767Z] Model: claude-4.6-opus-high-thinking | Tokens: 389,921 | Cost: $0.25 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771509591430 [2026-02-19T13:59:51.430Z] Model: claude-4.6-opus-high-thinking | Tokens: 1,465,846 | Cost: $1.03 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771509778444 [2026-02-19T14:02:58.444Z] Model: claude-4.6-opus-high-thinking | Tokens: 273,700 | Cost: $0.60 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771509875364 [2026-02-19T14:04:35.364Z] Model: claude-4.6-opus-high-thinking | Tokens: 574,618 | Cost: $0.37 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771510645973 [2026-02-19T14:17:25.973Z] Model: claude-4.6-opus-high-thinking | Tokens: 196,582 | Cost: $0.59 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771511888477 [2026-02-19T14:38:08.477Z] Model: claude-4.6-opus-high-thinking | Tokens: 263,417 | Cost: $0.29 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771512003820 [2026-02-19T14:40:03.820Z] Model: claude-4.6-opus-high-thinking | Tokens: 0 | Cost: $0.00 | Kind: USAGE_EVENT_KIND_ERRORED_NOT_CHARGED
ts=1771512011159 [2026-02-19T14:40:11.159Z] Model: claude-4.6-opus-high-thinking | Tokens: 313,147 | Cost: $0.76 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771512025286 [2026-02-19T14:40:25.286Z] Model: claude-4.6-opus-high-thinking | Tokens: 432,255 | Cost: $0.85 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771512181898 [2026-02-19T14:43:01.898Z] Model: claude-4.6-opus-high-thinking | Tokens: 2,657,705 | Cost: $1.77 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771512392338 [2026-02-19T14:46:32.338Z] Model: claude-4.6-opus-high-thinking | Tokens: 100,715 | Cost: $0.17 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771512424891 [2026-02-19T14:47:04.891Z] Model: claude-4.6-opus-high-thinking | Tokens: 548,604 | Cost: $0.86 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771522193634 [2026-02-19T17:29:53.634Z] Model: claude-4.6-opus-high-thinking | Tokens: 1,122,520 | Cost: $2.47 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771525146507 [2026-02-19T18:19:06.507Z] Model: claude-4.6-opus-high-thinking | Tokens: 930,594 | Cost: $1.22 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771527040378 [2026-02-19T18:50:40.378Z] Model: claude-4.6-opus-high-thinking | Tokens: 291,229 | Cost: $0.99 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771527268871 [2026-02-19T18:54:28.871Z] Model: claude-4.6-opus-high-thinking | Tokens: 600,018 | Cost: $0.96 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771527386916 [2026-02-19T18:56:26.916Z] Model: claude-4.6-opus-high-thinking | Tokens: 701,187 | Cost: $1.11 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771527549262 [2026-02-19T18:59:09.262Z] Model: claude-4.6-opus-high-thinking | Tokens: 502,266 | Cost: $0.43 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771529652355 [2026-02-19T19:34:12.355Z] Model: claude-4.6-opus-high-thinking | Tokens: 131,066 | Cost: $0.24 | Kind: USAGE_EVENT_KIND_USAGE_BASED
ts=1771529715079 [2026-02-19T19:35:15.079Z] Model: claude-4.6-opus-high-thinking | Tokens: 98,234 | Cost: $0.08 | Kind: USAGE_EVENT_KIND_USAGE_BASED
